monitoring;iterations;threads;run;time
no;10;11;1;968
yes;10;11;1;975
no;10;11;2;970
yes;10;11;2;979
no;10;11;3;975
yes;10;11;3;978
no;10;11;4;975
yes;10;11;4;981
no;10;11;5;973
yes;10;11;5;985
no;10;11;6;976
yes;10;11;6;984
no;10;11;7;979
yes;10;11;7;989
no;10;11;8;977
yes;10;11;8;984
no;10;11;9;979
yes;10;11;9;986
no;10;11;10;979
yes;10;11;10;986
no;10;11;11;978
yes;10;11;11;986
no;10;11;12;980
yes;10;11;12;989
no;10;11;13;984
yes;10;11;13;990
no;10;11;14;981
yes;10;11;14;989
no;10;11;15;981
yes;10;11;15;995
no;10;11;16;983
yes;10;11;16;990
no;10;11;17;985
yes;10;11;17;992
no;10;11;18;984
yes;10;11;18;992
no;10;11;19;985
yes;10;11;19;991
no;10;11;20;986
yes;10;11;20;993
no;10;12;0;989
yes;10;12;0;1013
no;10;12;1;1002
yes;10;12;1;1014
no;10;12;2;1003
yes;10;12;2;1019
no;10;12;3;1007
yes;10;12;3;1017
no;10;12;4;1007
yes;10;12;4;1017
no;10;12;5;1005
yes;10;12;5;1018
no;10;12;6;1005
yes;10;12;6;1018
no;10;12;7;1008
yes;10;12;7;1024
no;10;12;8;1008
yes;10;12;8;1024
no;10;12;9;1010
yes;10;12;9;1021
no;10;12;10;1012
yes;10;12;10;1021
no;10;12;11;1011
yes;10;12;11;1022
no;10;12;12;1014
yes;10;12;12;1027
no;10;12;13;1014
yes;10;12;13;1025
no;10;12;14;1015
yes;10;12;14;1026
no;10;12;15;1018
yes;10;12;15;1028
no;10;12;16;1016
yes;10;12;16;1028
no;10;12;17;1018
yes;10;12;17;1028
no;10;12;18;1020
yes;10;12;18;1034
no;10;12;19;1026
yes;10;12;19;1032
no;10;12;20;1024
yes;10;12;20;1037
no;10;13;0;1051
yes;10;13;0;1060
no;10;13;1;1052
yes;10;13;1;1060
no;10;13;2;1053
yes;10;13;2;1061
no;10;13;3;1053
yes;10;13;3;1061
no;10;13;4;1052
yes;10;13;4;1062
no;10;13;5;1054
yes;10;13;5;1064
no;10;13;6;1055
yes;10;13;6;1068
no;10;13;7;1054
yes;10;13;7;1066
no;10;13;8;1057
yes;10;13;8;1067
no;10;13;9;1057
yes;10;13;9;1067
no;10;13;10;1059
yes;10;13;10;1068
no;10;13;11;1059
yes;10;13;11;1071
no;10;13;12;1061
yes;10;13;12;1069
no;10;13;13;1061
yes;10;13;13;1072
no;10;13;14;1064
yes;10;13;14;1075
no;10;13;15;1063
yes;10;13;15;1074
no;10;13;16;1062
yes;10;13;16;1072
no;10;13;17;1065
yes;10;13;17;1076
no;10;13;18;1066
yes;10;13;18;1079
no;10;13;19;1068
yes;10;13;19;1075
no;10;13;20;1067
yes;10;13;20;1078
no;10;14;0;1103
yes;10;14;0;1112
no;10;14;1;1103
yes;10;14;1;1113
no;10;14;2;1104
yes;10;14;2;1115
no;10;14;3;1105
yes;10;14;3;1114
no;10;14;4;1107
yes;10;14;4;1116
no;10;14;5;1106
yes;10;14;5;1111
no;10;14;6;1105
yes;10;14;6;1116
no;10;14;7;1124
yes;10;14;7;1143
no;10;14;8;1132
yes;10;14;8;1139
no;10;14;9;1132
yes;10;14;9;1148
no;10;14;10;1141
yes;10;14;10;1151
no;10;14;11;1145
yes;10;14;11;1159
no;10;14;12;1105
yes;10;14;12;1120
no;10;14;13;1106
yes;10;14;13;1118
no;10;14;14;1106
yes;10;14;14;1124
no;10;14;15;1109
yes;10;14;15;1122
no;10;14;16;1114
yes;10;14;16;1122
no;10;14;17;1113
yes;10;14;17;1121
no;10;14;18;1112
yes;10;14;18;1126
no;10;14;19;1110
yes;10;14;19;1122
no;10;14;20;1110
yes;10;14;20;1124
no;10;15;0;1137
yes;10;15;0;1144
no;10;15;1;1136
yes;10;15;1;1146
no;10;15;2;1142
yes;10;15;2;1148
no;10;15;3;1141
yes;10;15;3;1147
no;10;15;4;1139
yes;10;15;4;1149
no;10;15;5;1143
yes;10;15;5;1148
no;10;15;6;1146
yes;10;15;6;1151
no;10;15;7;1146
yes;10;15;7;1151
no;10;15;8;1147
yes;10;15;8;1151
no;10;15;9;1144
yes;10;15;9;1147
no;10;15;10;1143
yes;10;15;10;1151
no;10;15;11;1144
yes;10;15;11;1149
no;10;15;12;1145
yes;10;15;12;1151
no;10;15;13;1142
yes;10;15;13;1150
no;10;15;14;1145
yes;10;15;14;1152
no;10;15;15;1145
yes;10;15;15;1152
no;10;15;16;1145
yes;10;15;16;1152
no;10;15;17;1147
yes;10;15;17;1153
no;10;15;18;1143
yes;10;15;18;1152
no;10;15;19;1145
yes;10;15;19;1157
no;10;15;20;1145
yes;10;15;20;1151
no;10;16;0;1179
yes;10;16;0;1201
no;10;16;1;1179
yes;10;16;1;1191
no;10;16;2;1182
yes;10;16;2;1195
no;10;16;3;1180
yes;10;16;3;1196
no;10;16;4;1180
yes;10;16;4;1190
no;10;16;5;1182
yes;10;16;5;1200
no;10;16;6;1223
yes;10;16;6;1197
no;10;16;7;1274
yes;10;16;7;1199
no;10;16;8;1226
yes;10;16;8;1386
no;10;16;9;1310
yes;10;16;9;1199
no;10;16;10;1201
yes;10;16;10;1205
no;10;16;11;1188
yes;10;16;11;1202
no;10;16;12;1191
yes;10;16;12;1208
no;10;16;13;1193
yes;10;16;13;1204
no;10;16;14;1195
yes;10;16;14;1204
no;10;16;15;1193
yes;10;16;15;1203
no;10;16;16;1187
yes;10;16;16;1213
no;10;16;17;1194
yes;10;16;17;1210
no;10;16;18;1190
yes;10;16;18;1207
no;10;16;19;1198
yes;10;16;19;1208
no;10;16;20;1194
yes;10;16;20;1212
no;10;17;0;1599
yes;10;17;0;1565
no;10;17;1;1551
yes;10;17;1;1560
